Index,Date,Name,Tweet
12,Wed Apr 29 01:19:00 +0000 2020,MD Anderson Cancer Center,"“Our preclinical data suggest that IPN60090 may be effective in underserved groups of patients who need better treatment options,” says our Dr. Jeffrey Kovacs: https://t.co/nAcAdjEdXQ #AACR20 #CancerMoonshot #endcancer"
13,Wed Apr 29 01:19:37 +0000 2020,Andres F. Cardona,Data presented at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that use of targeted agents or immunotherapy are not correlated with worst #COVID19 outcome among cancer patients in contrast with chemotherapy https://t.co/z0VqqIJrMJ
14,Wed Apr 29 01:19:42 +0000 2020,Becky Bunn,Conclusion for TERAVOLT registry presentation on #AACR20 https://t.co/hR3R47wVNK
15,Wed Apr 29 01:20:38 +0000 2020,Pedro Pablo Prada 🇨🇺,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
16,Wed Apr 29 01:23:00 +0000 2020,Juan Salvador,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
17,Wed Apr 29 01:23:09 +0000 2020,"Lecia Sequist, MD, MPH",Important summary of key #COVID19nCancer data from #AACR2020. Thanks @CharuAggarwalMD
18,Wed Apr 29 01:24:08 +0000 2020,Alan Meng,.@DavidHongMD: site-agnostic Vivtrakvi (larotrectinib) works better for #cancers with NTRK gene fusions vs other mutations. #AACR20 https://t.co/nvBLhcLfXg
19,Wed Apr 29 01:24:42 +0000 2020,FlorDePitaya,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
20,Wed Apr 29 01:24:46 +0000 2020,UChicago CGH,"Missed #COVID19nCancer plenary in #AACR20 @AACR?
Here’s a thread to catch up on all the fascinating global research presented by:
@AACR @AACRPres #AntoniRibas #LiZhang @marinagarassino @barlesi #CarlosGomez #LouisVoigt #HongbingCai cc:@OncoAlert @COVID19nCCC @ASCO @ASH_hematology"
21,Wed Apr 29 01:25:11 +0000 2020,"Antonio Giordano, MD PhD","Oncologists are very used to see the Kaplan-Meier curve. For COVID-19, the curve shows statistically significant with Y-axis represented by days, not even months. It is a very sad outcome. Thanks, @AACR for providing this opportunity to learn so that we can fight w/data. #AACR20 https://t.co/VtVTqPxd3b"
22,Wed Apr 29 01:25:49 +0000 2020,Alan Meng,Great discussion by Dr. Patricia LoRusso @YaleMed on the NTRK treatment landscape -1st and subsequent line treatment options for NTRK-fusion positive cancers. #AACR2020 #AACR20 #LCSM https://t.co/JI9EBc1qht
23,Wed Apr 29 01:26:35 +0000 2020,Alan Meng,Larotrectinib shows 95% ORR in patients harboring NTRK1/2/3 gene fusions - would like to see such amazing waterfall plots for other targeted therapies. #AACR20 https://t.co/ufkGDvddCM
24,Wed Apr 29 01:27:46 +0000 2020,Alan Meng,"Nice presentation by Dr Sridhar (AstraZeneca) showing that tertiary lymphoid structures (assessed by gene signatures expression) are associated with response to anti-PD-L1 durvalumab in #NSCLC and UC, extending our results from soft tissue sarcoma and melanoma. #AACR20 https://t.co/ZWZ30ATRIF"
25,Wed Apr 29 01:27:58 +0000 2020,Pedro Hdez,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
26,Wed Apr 29 01:28:35 +0000 2020,"Thierry Alcindor, MD, MSc",It would be interesting to know whether the same gene expression pattern is seen across different tumor types.
27,Wed Apr 29 01:29:53 +0000 2020,Just Deb,"Okay, I was not going to announce this till we actually had a cure but here goes: @Aiims1742  @VivekSubbiah and @UroDocAsh have formed a secret society in Harris County. 

Come join us at happy hour April 1, 2021 to learn what we have been up to @WSJ #AACR20"
28,Wed Apr 29 01:30:50 +0000 2020,Daryseg,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
29,Wed Apr 29 01:31:30 +0000 2020,David Pérez,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
30,Wed Apr 29 01:31:37 +0000 2020,Keith T Schmidt,Great presentation by Dr. Padmanee Sharma of @MDAndersonNews @AACR #AACR20 on why PD-1 and PD-L1 inhibitors performed poorly in #mCRPC to date and what the next steps should be https://t.co/0vT59YkLKy
31,Wed Apr 29 01:32:10 +0000 2020,Marino20C🇨🇺,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
32,Wed Apr 29 01:33:18 +0000 2020,はんなり #Stay home!,"Oncologists are very used to see the Kaplan-Meier curve. For COVID-19, the curve shows statistically significant with Y-axis represented by days, not even months. It is a very sad outcome. Thanks, @AACR for providing this opportunity to learn so that we can fight w/data. #AACR20 https://t.co/VtVTqPxd3b"
33,Wed Apr 29 01:35:03 +0000 2020,Alan Meng,"CONGRESS | #AACR20 | Yuan-kai Shi presents results from a phase II trial of geptanolimab (GB226), an anti PD-1 humanized, monoclonal antibody, in patients with R/R PTCL #lymsm https://t.co/WMsnNysH0Z"
34,Wed Apr 29 01:35:23 +0000 2020,"Walt Whitman, NP","You can never be too respectful, so always err on the side of showing more, not less, respect. #pallonc #oncology #hapc #nursing"
35,Wed Apr 29 01:37:16 +0000 2020,Alan Meng,"Ben Creelan, MD @MoffittNews : Interesting Phase 1 trial shows durable CRs to adoptive cell transfer using TILs in #NSCLC. Many patients were low/no PDL1 and had oncogene drivers. Looking forward to seeing future work in this area.   #AACR20 #lcsm #lungcancer @EGFRResisters https://t.co/16GBuyBez9"
36,Wed Apr 29 01:41:52 +0000 2020,Jiayi Huang,"Catching some of the @AACR virtual meeting today, super cool stuff. Makes me *very* excited for future virtual conferences! #AACR20 

PS Fantastic discussion of social determinants of health during the #COVID19 session. Dont miss!

PPS Virtual @roecsg in &lt;3 weeks what up! 🎉🥳😀"
37,Wed Apr 29 01:44:02 +0000 2020,瀬戸内海に臨む　乳腺外科医,"【#AACR20 COVID-19とがん医療のプレナリーの概要と感想, part 2】
COVID-19＆がんになったときの予後不良のリスク
- 癌が肺に転移しているか肺がんである
- ARDS
- 好中球減少症
- １４日以内化学療法"
38,Wed Apr 29 01:44:16 +0000 2020,Katie Kurnit,#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience
39,Wed Apr 29 01:44:43 +0000 2020,瀬戸内海に臨む　乳腺外科医,"【#AACR20 COVID-19プレナリーの概要と感想, part 3】発表データはまだ小さく、選択バイアスがあるかも。各国の経験がかなり異なっているが、これはデーターの収集方法が異なるためだろうか。 疾患別ガイドラインの必要性を感じた。がん患者向けの感染するリスクを定義するアルゴリズムが必要である。"
40,Wed Apr 29 01:45:39 +0000 2020,Alexandre Jácome,"#AACR20 delighted to share that my small observation/formula➗is now published.💡Small but novel finding. 

👉🏼What if you could calculate the 🔢CA-19-9/CEA ratio &amp; it could identify 🧬BRAFV600E MSS 🆚 MSI-High 🆚 Others. Simple, rapid, &amp; cheap. 

#CRCSM 📃https://t.co/7j0v23E2pq https://t.co/t359VmAK1n"
41,Wed Apr 29 01:45:58 +0000 2020,瀬戸内海に臨む　乳腺外科医,"【#AACR20 COVID-19とがん医療の プレナリーの概要と感想, part 1】
COVID-19の感染リスクが高くなった要因。
- 3ヶ月以内の化学療法
- PSが低い：虚弱な患者
- 社会経済的地位が低い
- 血液学的悪性腫瘍
- 特定の種類の治療法が目立たなかった。免疫療法はリスクとして出てこなかった。"
42,Wed Apr 29 01:46:57 +0000 2020,瀬戸内海に臨む　乳腺外科医,確かな情報　#CancerX
43,Wed Apr 29 01:47:32 +0000 2020,Sarah Temkin,#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience
44,Wed Apr 29 01:49:05 +0000 2020,Julian Pérez,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
45,Wed Apr 29 01:52:00 +0000 2020,OncLive.com,"Thanks for the coverage of our @SWOG trial results presented at #AACR20, @jasoncology and @OncLive!
https://t.co/av8vGk7toM via @onclive"
46,Wed Apr 29 01:52:22 +0000 2020,Ariella Hanker,Dr. Chris Abbosh's introduction very nicely framed the importance of intervention at the MRD stage. #LiquidBiopsy could allow us to shift the therapeutic window to when disease burden is earlier + guide targeted therapy selection. #AACR20
47,Wed Apr 29 01:52:24 +0000 2020,Dee Sparacio,"@ivybelkins @AACRFoundation Such a hot button for me too. People may have the ability to ""reduce their risk"" of cancer but true prevention is still not possible in most cases. To pretend otherwise is detrimental and creates stigma and shaming.  #WordsMatter #lcsm #bcsm #AACR20 #AACR2020"
48,Wed Apr 29 01:52:51 +0000 2020,Dee Sparacio,#AACR20. Great news for people living with #cancer during #COVID19 #pandemic: pembrolizumab 400 mg every 6 wks granted accelerated approval by FDA today for all existing indications. #advocacy #PatientExperience
49,Wed Apr 29 01:53:04 +0000 2020,Ariella Hanker,Please join us June 22-24 for #AACR20 Virtual Annual Meeting II. There will be thousands of proffered papers covering the spectrum of cancer research presented in minisymposia and in an e-poster platform. https://t.co/uizEwfiVlG
50,Wed Apr 29 01:53:29 +0000 2020,Daniel Auclair,Please join us June 22-24 for #AACR20 Virtual Annual Meeting II. There will be thousands of proffered papers covering the spectrum of cancer research presented in minisymposia and in an e-poster platform. https://t.co/uizEwfiVlG
51,Wed Apr 29 01:53:30 +0000 2020,Angel Valencia V.,Atezolizumab + enzalutamide not increasing OS or PFS (vs Enza alone) in prostate cancer (CRPC) - HR1.12. No subgroup appears to benefit and no long-term progressors. This seriously questions any role for ICIs in prostate cancer #AACR20 #prostatecancer https://t.co/VBx5PDu0bO
52,Wed Apr 29 01:53:58 +0000 2020,Angel Valencia V.,"At #AACR20 Dr Creelan presented data on adoptive TIL therapy for NSCLC.  This is a very interesting approach - surgery of a metastatic lesion, ex vivo TIL expansion, nivolumab, lymphodepletion and TIL reinfusion with further nivolumab  #LCSM https://t.co/ECHtoEoJTG"
53,Wed Apr 29 01:54:38 +0000 2020,Susan G. Komen,New phase 2 trial results show that addition of Imprime PGG to pembrolizumab is a promising treatment for patients with #metastatic triple-negative #breastcancer #AACR20 https://t.co/6MZSEknwLh
54,Wed Apr 29 01:55:16 +0000 2020,María Luisa,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
55,Wed Apr 29 01:57:35 +0000 2020,@andypowell,"Our #AACR20 poster presentations are available on-demand. View research presentations by Yuman Fong, M.D., chair of the Department of Surgery at City of Hope, and medical oncologist Mihaela Cristea, M.D.

Dr. Fong: https://t.co/taB7ae9TeQ
Dr. Cristea: https://t.co/XdWaJgt4tP https://t.co/VqLdJWiDx7"
56,Wed Apr 29 01:57:38 +0000 2020,NevaehMaya12,"RT cityofhope: Our #AACR20 poster presentations are available on-demand. View research presentations by Yuman Fong, M.D., chair of the Dep…"
57,Wed Apr 29 01:59:47 +0000 2020,Daniel,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
58,Wed Apr 29 02:00:08 +0000 2020,josef (José Armando),Dr. Grace Dy is presenting new data today from Roswell Park's CIMAvax/nivolumab study. The combination’s activation of B and T cells is encouraging compared to checkpoint blockade #immunotherapy alone. #AACR20 https://t.co/Ufvqat0YzA https://t.co/NtjKeAxZfu
59,Wed Apr 29 02:01:41 +0000 2020,Manuel Cruz,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
60,Wed Apr 29 02:03:39 +0000 2020,Kowalyszyn Ruben,Data presented at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that use of targeted agents or immunotherapy are not correlated with worst #COVID19 outcome among cancer patients in contrast with chemotherapy https://t.co/z0VqqIJrMJ
61,Wed Apr 29 02:04:36 +0000 2020,D. Russler-Germain,"Talk from #TRACERx about the use ctDNA in early stage lung cancer to predict patient relapse after surgery, correlating it with minimum residual disease:
⬆️ pre-op ctDNA shedding associated with longer MRD lead-times and shorter DFS times post-op
#AACR20 #AACR2020 #lcsm https://t.co/eqtjL1ypV1"
62,Wed Apr 29 02:05:03 +0000 2020,Yordan Monje Figueredo,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
63,Wed Apr 29 02:07:09 +0000 2020,Cubacoopera Jamaica,Dr. Grace Dy is presenting new data today from Roswell Park's CIMAvax/nivolumab study. The combination’s activation of B and T cells is encouraging compared to checkpoint blockade #immunotherapy alone. #AACR20 https://t.co/Ufvqat0YzA https://t.co/NtjKeAxZfu
64,Wed Apr 29 02:08:29 +0000 2020,AlmeydaGeicon,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
65,Wed Apr 29 02:08:40 +0000 2020,Kellischultz1,"#AACR20 💭I think integrating #ctDNA #liquidbiopsies is going to be the new paradigm shift in more efficient trial designs. If you chose 🩸🧬MRD➕subset of patients, especially for these adjuvant studies, sample size required would be a lot lower since event rate will be high📈. https://t.co/ltbTc4pISo"
66,Wed Apr 29 02:09:05 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Dear Colleagues,
Thank you for a great couple of days of science, all of us at @OncoAlert 🚨are very grateful for your support &amp; for helping in keeping colleagues worldwide #OncoAlert!! Thank you #AACR20 &amp; look forward to Part 2⃣.
Ps. Numbers don't lie, this was a success! Kudos! https://t.co/F4edm9zrVC"
67,Wed Apr 29 02:09:09 +0000 2020,Stephanie Lheureux,"Data  at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that #COVID19 prevalence among cancer patients is a) 12%  b) mortality is close to 15% (similar to general population c)Factors correlated with worst outcome: hemopathy, PS2+, recent chemotherapy https://t.co/Ga25jTRfyz"
68,Wed Apr 29 02:10:02 +0000 2020,OncLive.com,Positive Safety Profile Reported for Atezolizumab/Axi-Cel Combo in DLBCL @DanaFarber @AACR #lymsm #AACR20 https://t.co/sZhSb8dbdB
69,Wed Apr 29 02:10:09 +0000 2020,Christiana,"Data  at plenary session #AACR20 from @GustaveRoussy by @barlesi shows that #COVID19 prevalence among cancer patients is a) 12%  b) mortality is close to 15% (similar to general population c)Factors correlated with worst outcome: hemopathy, PS2+, recent chemotherapy https://t.co/Ga25jTRfyz"
70,Wed Apr 29 02:10:19 +0000 2020,Stephanie Lheureux,"#AACR20 #COVID19 Dr. Fabrice Barlesi on #COVID19nCancer at Gustave Roussy. Incidence #SARSCoV2 (12%), % asymptomatic (80%), ICU (11%), &amp; death (15%) similar to non-oncology population. Risk factors for poor outcome: ECOG&gt;1, heme malig, adv cancer w/ chemo (not other tx) in 3 mos. https://t.co/st9GCjGirh"
71,Wed Apr 29 02:10:36 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Our @OncoAlert 🚨Colleague @CharuAggarwalMD 👩‍⚕️from @PennCancer  Virtually Live at #AACR20 discussing global🌏presentations dealing #COVID19 and #Cancer : #TERAVOLT from @marinagarassino 🇮🇹&amp; The French experience by @barlesi from @GustaveRoussy 🇫🇷
Edited: @weoncologists https://t.co/yJXXuVGIJV"
72,Wed Apr 29 02:10:40 +0000 2020,pablo vazquez,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba https://t.co/go7X6uDbsd"
73,Wed Apr 29 02:11:59 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Early detection at #AACR20: David Thiel @MayoClinic speaks about test to predict cancer and organ of origin w/cfDNA. ""Intention is to use in addition to testing based on screening guidelines (not on its own)"" -- wondering why not for all patients? #lcsm @lungcancer @EGFRResisters https://t.co/uzEWy6WNWR"
74,Wed Apr 29 02:12:22 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Our Colleague @shilpaonc live from #AACR20 discussing her work on this first in human study of mRNA2416 given intratumorrally alone and in combination with durvalumab in patients with advanced cancers
Edited: @weoncologists https://t.co/2rxks3qi8a"
75,Wed Apr 29 02:13:03 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Technical challenges exist in using #liquidbiopsies to screen everyone for cancer, in addition to cost issues.  #AACR20 #lcsm #lungcancer @EGFRResisters https://t.co/V3xu4uyIHW"
76,Wed Apr 29 02:13:20 +0000 2020,Henry Cruz 🇵🇷🏳️‍🌈,"Check out this video by the amazing Dr. @CharuAggarwalMD. 

#OncoAlert 
#AACR20"
77,Wed Apr 29 02:13:49 +0000 2020,Henry Cruz 🇵🇷🏳️‍🌈,"As a phenomenal 1st part of #AACR20 wraps up, WE at @OncoAlert 🚨Congratulate &amp; thank @AACR for putting together a phenomenal meeting, you are all pioneers and the Oncology community will build from here.  Thanks to all of our colleagues for the support, stay safe &amp; stay strong‼️ https://t.co/T8Cg4ptdzN"
78,Wed Apr 29 02:14:29 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,Predictive biomarker for #immunotherapy in #NSCLC #LCSM #AACR20
79,Wed Apr 29 02:15:00 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"Our @OncoAlert 🚨Colleague @LeciaSequist 👩‍⚕️of @MassGeneralNews Live from #AACR20 Discussing The Geometry Study and Zenith20. #LCSM @LungCancer 
Edited: @weoncologists https://t.co/U9ZPHynuZA"
80,Wed Apr 29 02:15:33 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#OncoAlert #AACR20 More mature data emerging from China. This review by Dr. Zhang at Tongji in Wuhan discusses patients with cancer and #COVID19. Interesting to contrast these with data from US, Italy, Spain, France, etc - some trends just reflect patient populations served. https://t.co/5nxOc3BYb2"
81,Wed Apr 29 02:15:36 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#OncoAlert #AACR20 Serial scans show #COVID19 related lung changes. Note the fibrosis emerging at day 25. Will long-term sequela impact respiratory function, quality of life? Will this vary by prior lung pathology, prior radiation, prior pneumonitis, etc? https://t.co/XrcRUiRe7e"
82,Wed Apr 29 02:15:40 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#OncoAlert #AACR20 Analyses to identify risk factors for severe events such as recent anti-cancer therapy (14d), radiographic findings. IO therapy not a clear risk. Numbers though are small and this is where large ongoing registries (such as #TERAVOLT) will help with perspective. https://t.co/XTfdNTdJqB"
83,Wed Apr 29 02:15:46 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"As a phenomenal 1st part of #AACR20 wraps up, WE at @OncoAlert 🚨Congratulate &amp; thank @AACR for putting together a phenomenal meeting, you are all pioneers and the Oncology community will build from here.  Thanks to all of our colleagues for the support, stay safe &amp; stay strong‼️ https://t.co/T8Cg4ptdzN"
84,Wed Apr 29 02:16:00 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,That wraps up #AACR20 Virtual Annual Meeting I. Thank you to everyone for following along and tweeting with us. https://t.co/9L1H0PhT4Y
85,Wed Apr 29 02:16:32 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#AACR20 Dr. Domchek’s discussion of PARPi #EMBRACA:

🗝 no OS with olaparib or talazoparib in #bcsm, but PFS and tolerability ⬆️

✨No diff by HR/TNBC, or by platinum, BUT benefit only w/ no chemo in MBC, not there 2nd/3rd line

🔀 crossover confounds OS, 32% got PARP @OncoAlert https://t.co/E9chuSZtnK"
86,Wed Apr 29 02:16:39 +0000 2020,Alejandro Bruno Mejías Ibáñez 💯%🇨🇺,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
87,Wed Apr 29 02:17:30 +0000 2020,Chan Cheah,"CONGRESS | #AACR20 | Caron A Jacobson, @DanaFarber, presents results from ZUMA-6: axi-cel + atezolizumab for refractory DLBCL. ORR was 75% with a 46% CR rate and no significant increase in incidence of AEs #lymsm https://t.co/nARISEHLLb"
88,Wed Apr 29 02:18:27 +0000 2020,Mathieu Rousseau,Cancer patients like triple-negative #breastcancer survivor @deb_silverman are among those most vulnerable to #COVID19: https://t.co/4M0pycC7i1 @washingtonpost #AACR20 #endcancer
89,Wed Apr 29 02:18:41 +0000 2020,Mathieu Rousseau,@IpshitaPrakash
90,Wed Apr 29 02:18:57 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,#OncoAlert #AACR20 Long awaited data from TAK-788 (now mobocertinib) in #EGFR exon 20 #NSCLC - this is clearly an unmet need with poor outcomes achieved using standard EGFR TKIs or immunotherapy. TAK-788 has some promising features to help in this setting #LCSM https://t.co/43HKq137Sr
91,Wed Apr 29 02:18:59 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#OncoAlert #AACR20 In patients with #EGFRex20 #NSCLC treated with TAK-788 at 160mg, RR was 43% (n=28) including ASV mutations and NPH insertions. mPFS 7.3 months. Responses independent of prior therapy. Certainly encouraging - need more numbers, longer f/u, full dataset. #LCSM https://t.co/7TItSqO3W2"
92,Wed Apr 29 02:19:02 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,"#OncoAlert #AACR20 TAK-788 safety: At 160mg qd, G3+ AE in 40%, 25% dose reduction, 50% interruption. G3+ diarrhea 18%. Given the history of drugs here, does dose intensity correlate with DOR? I'm interested in G2 toxicities, which are very relevant here. Any QOL data? #LCSM https://t.co/32yxkSYdLW"
93,Wed Apr 29 02:19:43 +0000 2020,kyaw zin thein,"“These data strongly support the importance of clinical testing for NTRK gene fusions in order to identify those patients most likely to benefit from larotrectinib,” says @DavidHongMD. 

Learn more about his study presented today at #AACR20. https://t.co/2Gg4fqwJ0r #endcancer"
94,Wed Apr 29 02:19:52 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,David Huntsman discusses role of ctDNA/liquid biopsies &amp; interestingly the potential benefits of the uses are greatly increased due to #COVID19. #AACR20 #LCSM https://t.co/VofP7CmZXH
95,Wed Apr 29 02:20:24 +0000 2020,Kendri Brenan,"Instituto Roswell Park de #EEUU, asociado con @BioCubaFarma para investigación, desarrollo y producción de medicamentos, presenta prometedores resultados de ensayo clínico en congreso sobre oncología. Otra demostración del prestigio de nuestra industria farmaceutica. #SomosCuba"
96,Wed Apr 29 02:21:05 +0000 2020,Katsuaki Maehara Ph.D. 🇯🇵,Tertiary lymphoid structure (TLS) formation in NSCLC may predict response to immunotherapy (durvalumab) thru interaction with tumor micro-environment. Dr. Sriram Sridhar from AstraZeneca #AACR2020 #AACR20 #LCSM https://t.co/ywMmlw63gL
